epoch,t_s,node_id,tier,x_m,y_m,z0_mm,subsidence_mm,subsidence_prov,tilt_x_urad,tilt_y_urad,tilt_prov,strain_ustrain,strain_prov,disp_mm,disp_prov,battery_mv,rssi_dbm,parent_used,delivered,via_emergency
1,3600.0,167,1B,519.19,-159.6,0.0,0.318,synthetic,,,,48.549,synthetic,0.998,synthetic,4200.658,-57.983,30,true,true
1,3600.0,168,1B,524.39,164.3,0.0,2.919,synthetic,,,,45.679,synthetic,0.324,synthetic,4202.473,-50.18,5,true,false
1,3600.0,169,1B,527.06,-107.96,0.0,1.433,synthetic,,,,43.655,synthetic,0.817,synthetic,4198.317,-52.125,74,true,false
1,3600.0,170,1C,533.82,33.85,0.0,1.743,synthetic,,,,46.179,synthetic,,,4204.409,-42.915,27,true,false
1,3600.0,171,1C,543.39,8.98,0.0,-0.523,synthetic,,,,38.851,synthetic,,,4198.452,-44.175,27,true,false
1,3600.0,172,1B,567.77,132.93,0.0,-1.148,synthetic,,,,56.795,synthetic,0.661,synthetic,4203.87,-53.28,52,true,false
1,3600.0,173,1B,570.52,-157.65,0.0,0.329,synthetic,,,,48.566,synthetic,0.397,synthetic,4206.216,-55.012,74,true,false
1,3600.0,174,1C,579.64,19.77,0.0,-1.736,synthetic,,,,38.995,synthetic,,,4199.656,-52.273,27,true,false
1,3600.0,175,1C,582.16,-6.58,0.0,-0.566,synthetic,,,,42.91,synthetic,,,4202.242,-47.036,13,true,false
1,3600.0,176,1C,591.22,-30.21,0.0,1.278,synthetic,,,,39.544,synthetic,,,4196.608,-58.78,52,true,false
1,3600.0,177,1C,602.9,37.9,0.0,-0.945,synthetic,,,,44.494,synthetic,,,4204.302,-51.34,52,true,false
1,3600.0,178,1B,609.16,97.68,0.0,1.873,synthetic,,,,54.288,synthetic,0.451,synthetic,4201.346,-37.59,52,true,false
1,3600.0,179,1C,614.22,6.13,0.0,0.501,synthetic,,,,34.884,synthetic,,,4194.567,-35.609,13,true,false
1,3600.0,180,1C,623.67,-28.21,0.0,-0.018,synthetic,,,,41.969,synthetic,,,4198.239,-46.209,13,true,false
1,3600.0,181,1C,632.11,27.64,0.0,-0.848,synthetic,,,,41.245,synthetic,,,4200.542,-48.172,13,true,false
1,3600.0,182,1B,637.24,-164.48,0.0,1.439,synthetic,,,,62.475,synthetic,0.433,synthetic,4193.187,-57.02,21,true,false
1,3600.0,183,1C,639.24,-8.32,0.0,1.461,synthetic,,,,36.821,synthetic,,,4202.543,-45.838,13,true,false
1,3600.0,184,1B,654.17,147.04,0.0,2.58,synthetic,,,,46.12,synthetic,0.624,synthetic,4192.628,-42.65,23,true,false
1,3600.0,185,1C,664.68,35.7,0.0,0.869,synthetic,,,,39.104,synthetic,,,4214.335,-42.464,38,true,false
1,3600.0,186,1C,673.09,-30.49,0.0,1.428,synthetic,,,,42.722,synthetic,,,4199.962,-53.979,38,true,false
1,3600.0,187,1C,678.84,9.5,0.0,-0.618,synthetic,,,,37.422,synthetic,,,4196.958,-46.345,38,true,false
1,3600.0,188,1B,698.54,115.59,0.0,0.154,synthetic,,,,44.684,synthetic,0.816,synthetic,4202.75,-49.498,23,true,false
1,3600.0,189,1C,699.11,37.24,0.0,0.192,synthetic,,,,45.268,synthetic,,,4197.876,-41.393,38,true,false
1,3600.0,190,1C,702.78,-28.41,0.0,1.461,synthetic,,,,42.195,synthetic,,,4201.918,-54.62,21,true,false
1,3600.0,191,1C,704.74,0.04,0.0,1.765,synthetic,,,,38.39,synthetic,,,4201.352,-50.002,38,true,false
1,3600.0,192,1C,728.22,20.39,0.0,-0.417,synthetic,,,,39.508,synthetic,,,4201.313,-47.663,62,true,false
1,3600.0,193,1B,729.06,-102.41,0.0,0.242,synthetic,,,,45.768,synthetic,0.681,synthetic,4201.156,-41.361,21,true,false
1,3600.0,194,1C,729.62,-25.15,0.0,1.266,synthetic,,,,36.041,synthetic,,,4197.749,-47.497,62,true,false
1,3600.0,195,1B,730.56,154.01,0.0,1.959,synthetic,,,,48.801,synthetic,0.766,synthetic,4187.535,-52.456,23,true,false
1,3600.0,196,1C,752.8,14.26,0.0,-1.799,synthetic,,,,40.717,synthetic,,,4196.903,-41.466,62,true,false
1,3600.0,197,1C,752.9,-12.1,0.0,-1.468,synthetic,,,,37.551,synthetic,,,4199.164,-37.19,62,true,false
1,3600.0,198,1A,757.57,-201.71,0.0,-2.002,synthetic,1238.391,1404.187,synthetic,,,,,4197.889,-57.467,69,true,false
1,3600.0,199,1C,767.11,-34.88,0.0,1.004,synthetic,,,,40.183,synthetic,,,4200.566,-50.309,67,true,false
1,3600.0,200,1C,775.4,32.83,0.0,-2.525,synthetic,,,,38.04,synthetic,,,4199.658,-51.235,77,true,false
1,3600.0,201,1C,779.39,5.89,0.0,0.315,synthetic,,,,42.213,synthetic,,,4203.801,-46.03,62,true,false
1,3600.0,202,1B,786.1,127.19,0.0,2.531,synthetic,,,,51.187,synthetic,0.653,synthetic,4202.138,-48.509,16,true,false
1,3600.0,203,1C,803.44,34.49,0.0,0.836,synthetic,,,,39.751,synthetic,,,4194.629,-53.663,77,true,false
1,3600.0,204,1C,805.84,-24.52,0.0,1.445,synthetic,,,,40.198,synthetic,,,4195.804,-51.049,67,true,false
1,3600.0,205,1C,808.22,1.59,0.0,0.352,synthetic,,,,40.842,synthetic,,,4205.335,-54.722,67,true,false
1,3600.0,206,1C,830.81,34.38,0.0,2.023,synthetic,,,,46.564,synthetic,,,4206.074,-54.162,42,true,false
1,3600.0,207,1C,832.9,7.9,0.0,-0.707,synthetic,,,,44.956,synthetic,,,4203.781,-46.221,22,true,false
1,3600.0,208,1B,842.78,111.79,0.0,-2.346,synthetic,,,,54.408,synthetic,0.756,synthetic,4198.797,-45.351,16,true,false
1,3600.0,209,1C,845.71,-14.49,0.0,-2.119,synthetic,,,,41.544,synthetic,,,4199.19,-34.78,22,true,false
1,3600.0,210,1B,847.57,-154.02,0.0,-2.155,synthetic,,,,49.972,synthetic,0.616,synthetic,4208.536,-36.908,69,true,false
1,3600.0,211,1C,857.49,-36.91,0.0,-0.834,synthetic,,,,38.054,synthetic,,,4196.759,-45.229,22,true,false
1,3600.0,212,1C,857.76,34.06,0.0,0.098,synthetic,,,,41.26,synthetic,,,4199.683,-50.956,42,true,false
1,3600.0,213,1B,859.15,-104.53,0.0,-0.349,synthetic,,,,48.657,synthetic,0.197,synthetic,4202.369,-52.445,69,true,false
1,3600.0,214,1B,863.4,164.28,0.0,1.83,synthetic,,,,42.127,synthetic,0.218,synthetic,4190.095,-51.909,16,true,false
1,3600.0,215,1C,873.53,-10.14,0.0,2.171,synthetic,,,,46.26,synthetic,,,4194.236,-43.519,22,true,false
1,3600.0,216,1C,878.82,17.38,0.0,2.433,synthetic,,,,40.427,synthetic,,,4189.267,-51.585,42,true,false
1,3600.0,217,1C,885.19,-34.35,0.0,-0.278,synthetic,,,,43.179,synthetic,,,4213.655,-49.059,22,true,false
1,3600.0,218,1B,896.01,-167.21,0.0,0.707,synthetic,,,,40.2,synthetic,0.197,synthetic,4199.081,-49.943,69,true,false
1,3600.0,219,1C,899.44,32.26,0.0,-4.369,synthetic,,,,42.545,synthetic,,,4195.978,-48.373,42,true,false
1,3600.0,220,1B,908.99,127.64,0.0,0.975,synthetic,,,,58.754,synthetic,0.566,synthetic,4203.508,-50.272,66,true,false
1,3600.0,221,1C,913.52,-36.2,0.0,1.472,synthetic,,,,46.091,synthetic,,,4204.584,-49.061,2,true,false
1,3600.0,222,1C,923.23,-2.01,0.0,0.816,synthetic,,,,39.752,synthetic,,,4198.444,-36.899,2,true,false
1,3600.0,223,1C,935.61,27.31,0.0,2.68,synthetic,,,,35.39,synthetic,,,4212.971,-46.597,2,true,false
1,3600.0,224,1C,942.9,-32.1,0.0,-1.77,synthetic,,,,37.559,synthetic,,,4203.769,-47.19,2,true,false
1,3600.0,225,1B,948.65,-122.48,0.0,-0.147,synthetic,,,,47.152,synthetic,0.646,synthetic,4195.554,-54.185,79,true,false
1,3600.0,226,1C,955.46,-0.75,0.0,-0.941,synthetic,,,,40.82,synthetic,,,4194.204,-44.273,2,true,false
1,3600.0,227,1B,958.75,97.15,0.0,1.041,synthetic,,,,50.756,synthetic,0.567,synthetic,4204.38,-49.482,66,true,false
1,3600.0,228,1C,962.9,37.9,0.0,2.32,synthetic,,,,44.012,synthetic,,,4203.134,-49.743,34,true,false
1,3600.0,229,1B,977.65,162.96,0.0,-1.97,synthetic,,,,55.489,synthetic,0.459,synthetic,4195.143,-48.127,66,true,false
1,3600.0,230,1C,988.19,34.67,0.0,2.023,synthetic,,,,43.427,synthetic,,,4204.09,-47.707,34,true,false
1,3600.0,231,1B,988.64,-168.37,0.0,-0.383,synthetic,,,,47.201,synthetic,0.449,synthetic,4205.528,-46.501,79,true,false
1,3600.0,232,1C,994.18,-10.88,0.0,-0.436,synthetic,,,,41.693,synthetic,,,4208.019,-55.12,34,true,false
1,3600.0,233,1B,1010.5,-118.78,0.0,-1.245,synthetic,,,,47.477,synthetic,0.176,synthetic,4205.366,-47.667,79,true,false
1,3600.0,234,1B,1018.69,131.11,0.0,1.842,synthetic,,,,52.905,synthetic,0.943,synthetic,4198.394,-51.459,17,true,false
1,3600.0,235,1C,1024.91,-16.29,0.0,-2.125,synthetic,,,,41.171,synthetic,,,4202.595,-48.553,6,true,false
1,3600.0,236,1C,1031.57,14.58,0.0,-2.616,synthetic,,,,42.205,synthetic,,,4193.976,-44.177,6,true,false
1,3600.0,237,1C,1045.06,36.69,0.0,0.479,synthetic,,,,42.866,synthetic,,,4199.997,-46.686,6,true,false
1,3600.0,238,1B,1046.02,-157.9,0.0,-2.098,synthetic,,,,39.983,synthetic,0.875,synthetic,4197.729,-47.723,79,true,false
1,3600.0,239,1B,1052.9,167.9,0.0,-1.24,synthetic,,,,52.579,synthetic,0.521,synthetic,4204.351,-40.201,17,true,false
1,3600.0,240,1C,1057.94,-28.03,0.0,0.143,synthetic,,,,45.204,synthetic,,,4193.814,-48.384,6,true,false
1,3600.0,241,1C,1066.15,18.03,0.0,-0.802,synthetic,,,,34.505,synthetic,,,4197.166,-41.634,6,true,false
1,3600.0,242,1B,1078.18,102.04,0.0,2.242,synthetic,,,,51.366,synthetic,0.532,synthetic,4200.328,-52.446,17,true,false
1,3600.0,243,1C,1082.9,37.9,0.0,0.448,synthetic,,,,46.107,synthetic,,,4201.892,-56.684,70,true,false
1,3600.0,244,1C,1084.67,-22.04,0.0,-0.259,synthetic,,,,36.751,synthetic,,,4195.649,-51.55,70,true,false
1,3600.0,245,1C,1093.73,12.09,0.0,-3.944,synthetic,,,,40.136,synthetic,,,4200.398,-50.615,11,true,false
1,3600.0,246,1B,1099.99,-117.86,0.0,-0.068,synthetic,,,,42.824,synthetic,0.37,synthetic,4199.138,-51.43,71,true,false
1,3600.0,247,1B,1102.41,158.26,0.0,3.015,synthetic,,,,51.83,synthetic,0.572,synthetic,4200.152,-49.125,17,true,false
1,3600.0,248,1B,1104.5,-167.97,0.0,-1.647,synthetic,,,,61.676,synthetic,0.425,synthetic,4199.703,-50.951,50,true,false
1,3600.0,249,1C,1109.22,33.07,0.0,3.098,synthetic,,,,39.131,synthetic,,,4194.504,-44.855,11,true,false
1,3600.0,250,1C,1125.12,-27.17,0.0,-1.478,synthetic,,,,45.418,synthetic,,,4196.26,-41.715,70,true,false
1,3600.0,251,1C,1125.28,7.37,0.0,-3.53,synthetic,,,,40.176,synthetic,,,4199.415,-47.147,11,true,false
1,3600.0,252,1C,1136.31,32.18,0.0,0.46,synthetic,,,,40.618,synthetic,,,4202.19,-33.659,11,true,false
1,3600.0,253,1C,1152.04,-14.89,0.0,0.33,synthetic,,,,39.506,synthetic,,,4197.318,-47.631,70,true,false
1,3600.0,254,1B,1153.04,-145.92,0.0,-1.507,synthetic,,,,64.085,synthetic,0.751,synthetic,4200.003,-41.37,50,true,false
1,3600.0,255,1B,1156.82,125.38,0.0,-0.673,synthetic,,,,47.05,synthetic,0.286,synthetic,4194.109,-53.745,60,true,false
1,3600.0,256,1C,1167.04,28.33,0.0,-1.176,synthetic,,,,40.978,synthetic,,,4199.654,-48.184,11,true,false
1,3600.0,257,1C,1172.48,-32.12,0.0,0.327,synthetic,,,,45.002,synthetic,,,4196.027,-49.408,70,true,false
1,3600.0,258,1C,1174.55,3.68,0.0,-0.081,synthetic,,,,42.214,synthetic,,,4202.079,-46.418,8,true,false
1,3600.0,259,1C,1193.48,26.67,0.0,-1.878,synthetic,,,,39.84,synthetic,,,4204.899,-46.811,8,true,false
1,3600.0,260,1B,1196.43,-94.69,0.0,2.276,synthetic,,,,48.555,synthetic,0.677,synthetic,4196.759,-53.796,73,true,false
1,3600.0,261,1C,1200.18,-17.2,0.0,-1.524,synthetic,,,,42.105,synthetic,,,4190.548,-40.909,8,true,false
1,3600.0,262,1B,1213.67,129.0,0.0,2.754,synthetic,,,,62.142,synthetic,0.705,synthetic,4196.489,-39.349,60,true,false
1,3600.0,263,1B,1222.26,-146.44,0.0,1.818,synthetic,,,,51.838,synthetic,0.741,synthetic,4202.647,-54.228,50,true,false
1,3600.0,264,1C,1222.9,37.9,0.0,2.602,synthetic,,,,41.499,synthetic,,,4205.324,-57.19,60,true,false
1,3600.0,265,1C,1228.89,12.07,0.0,1.32,synthetic,,,,41.898,synthetic,,,4206.411,-46.617,8,true,false
1,3600.0,266,1C,1237.1,-18.33,0.0,1.283,synthetic,,,,43.901,synthetic,,,4198.992,-48.753,8,true,false
1,3600.0,267,1B,1248.14,-99.01,0.0,1.229,synthetic,,,,48.304,synthetic,0.575,synthetic,4201.788,-44.213,73,true,false
1,3600.0,268,1B,1252.9,97.9,0.0,3.744,synthetic,,,,45.03,synthetic,0.639,synthetic,4203.742,-51.17,60,true,false
1,3600.0,269,1C,1255.39,32.45,0.0,-0.113,synthetic,,,,44.752,synthetic,,,4207.799,-48.524,64,true,false
1,3600.0,270,1B,1259.2,160.18,0.0,-0.072,synthetic,,,,51.924,synthetic,0.445,synthetic,4203.117,-49.777,60,true,false
1,3600.0,271,1C,1267.83,-32.98,0.0,1.689,synthetic,,,,42.128,synthetic,,,4193.391,-49.974,64,true,false
1,3600.0,272,1C,1275.11,4.79,0.0,-0.662,synthetic,,,,35.217,synthetic,,,4205.685,-35.663,64,true,false
1,3600.0,273,1C,1282.81,29.66,0.0,1.924,synthetic,,,,42.251,synthetic,,,4209.291,-43.944,64,true,false
1,3600.0,274,1C,1299.13,-33.78,0.0,-0.588,synthetic,,,,43.536,synthetic,,,4205.479,-52.81,73,true,false
1,3600.0,275,1B,1302.91,-129.73,0.0,-0.912,synthetic,,,,62.193,synthetic,0.885,synthetic,4202.002,-53.067,73,true,false
1,3600.0,276,1C,1304.8,8.14,0.0,-0.478,synthetic,,,,35.784,synthetic,,,4204.256,-44.0,64,true,false
1,3600.0,277,1B,1310.64,121.43,0.0,2.424,synthetic,,,,54.474,synthetic,0.81,synthetic,4209.615,-45.069,82,true,false
1,3600.0,278,1C,1321.72,29.28,0.0,-1.181,synthetic,,,,38.364,synthetic,,,4199.985,-54.234,82,true,false
1,3600.0,279,1C,1335.84,6.03,0.0,-0.685,synthetic,,,,42.96,synthetic,,,4204.782,-56.979,82,true,false
1,3600.0,280,1C,1336.9,-34.96,0.0,-0.133,synthetic,,,,41.6,synthetic,,,4203.061,-56.054,73,true,false
1,3600.0,281,1C,1354.69,-13.53,0.0,2.395,synthetic,,,,46.89,synthetic,,,4201.139,-43.839,54,true,false
1,3600.0,282,1B,1355.19,-99.97,0.0,-3.517,synthetic,,,,44.25,synthetic,0.456,synthetic,4198.268,-48.481,41,true,false
1,3600.0,283,1C,1362.56,23.04,0.0,0.066,synthetic,,,,42.059,synthetic,,,4202.217,-45.876,54,true,false
1,3600.0,284,1B,1364.7,102.79,0.0,-1.789,synthetic,,,,51.385,synthetic,0.365,synthetic,4200.357,-48.33,45,true,false
1,3600.0,285,1B,1376.53,155.34,0.0,-1.678,synthetic,,,,43.176,synthetic,0.538,synthetic,4194.344,-42.205,45,true,false
1,3600.0,286,1B,1377.84,-146.18,0.0,0.884,synthetic,,,,59.028,synthetic,0.908,synthetic,4191.622,-40.667,41,true,false
1,3600.0,287,1C,1381.23,-18.57,0.0,-2.059,synthetic,,,,41.723,synthetic,,,4202.712,-42.513,54,true,false
1,3600.0,288,1C,1385.75,6.11,0.0,0.572,synthetic,,,,38.607,synthetic,,,4203.286,-40.855,54,true,false
1,3600.0,289,1C,1393.08,33.29,0.0,-1.14,synthetic,,,,43.035,synthetic,,,4198.083,-57.624,29,true,false
1,3600.0,290,1C,1409.58,-2.85,0.0,1.906,synthetic,,,,42.964,synthetic,,,4191.974,-48.481,54,true,false
1,3600.0,291,1B,1413.74,-102.12,0.0,2.947,synthetic,,,,57.039,synthetic,0.201,synthetic,4199.416,-51.284,41,true,false
1,3600.0,292,1C,1422.92,-32.73,0.0,0.525,synthetic,,,,41.587,synthetic,,,4199.186,-49.831,7,true,false
1,3600.0,293,1B,1425.3,111.38,0.0,1.769,synthetic,,,,53.056,synthetic,0.779,synthetic,4196.85,-52.567,45,true,false
1,3600.0,294,1C,1431.43,16.4,0.0,2.689,synthetic,,,,38.165,synthetic,,,4191.593,-46.239,7,true,false
1,3600.0,295,1B,1450.73,156.56,0.0,-0.598,synthetic,,,,55.107,synthetic,0.248,synthetic,4200.646,-54.786,29,true,false
1,3600.0,296,1C,1456.31,-23.51,0.0,-2.135,synthetic,,,,43.069,synthetic,,,4201.22,-43.911,7,true,false
1,3600.0,297,1C,1461.57,24.85,0.0,-0.606,synthetic,,,,35.63,synthetic,,,4200.842,-46.229,7,true,false
1,3600.0,298,1B,1462.34,-124.3,0.0,-0.362,synthetic,,,,49.778,synthetic,0.457,synthetic,4200.847,-51.774,75,true,false
1,3600.0,299,1C,1484.78,-0.96,0.0,0.639,synthetic,,,,46.555,synthetic,,,4196.23,-47.266,7,true,false
1,3600.0,300,1C,1495.69,28.27,0.0,1.843,synthetic,,,,39.609,synthetic,,,4204.446,-52.895,29,true,false
1,3600.0,301,1B,1497.7,130.41,0.0,1.068,synthetic,,,,48.391,synthetic,0.868,synthetic,4201.163,-50.257,29,true,false
1,3600.0,302,1C,1500.69,-29.81,0.0,-0.224,synthetic,,,,36.783,synthetic,,,4198.247,-47.952,49,true,false
1,3600.0,303,1C,1526.46,2.91,0.0,3.693,synthetic,,,,41.477,synthetic,,,4205.313,-50.578,40,true,false
